symbol,timestamp,sent_at,open,high,low,current_price,previous_close,change,change_percent
AAPL,2025-10-17T15:00:00,2025-10-17T15:00:00.000000,252.27999877929688,252.63999938964844,252.10009765625,252.62539672851562,252.62539672851562,0.0,0.0
AAPL,2025-10-17T15:15:00,2025-10-17T15:15:00.000000,252.6199951171875,252.82000732421875,252.36000061035156,252.75999450683594,252.62539672851562,0.1345977783203125,0.053279591071739414
AAPL,2025-10-17T15:30:00,2025-10-17T15:30:00.000000,252.75,253.3800048828125,252.4199981689453,253.21499633789062,252.75999450683594,0.4550018310546875,0.18001338856746252
AAPL,2025-10-17T15:45:00,2025-10-17T15:45:00.000000,253.22000122070312,253.341796875,252.1199951171875,252.3000030517578,253.21499633789062,-0.9149932861328125,-0.3613503541914411
AAPL,2025-10-20T09:30:00,2025-10-20T09:30:00.000000,255.88499450683594,259.20001220703125,255.6300048828125,258.4599914550781,252.3000030517578,6.1599884033203125,2.441533225846465
AAPL,2025-10-20T09:45:00,2025-10-20T09:45:00.000000,258.4700012207031,259.8699951171875,257.739990234375,258.9775085449219,258.4599914550781,0.51751708984375,0.20023102489875982
AAPL,2025-10-20T10:00:00,2025-10-20T10:00:00.000000,258.8900146484375,259.56988525390625,258.0701904296875,258.6600036621094,258.9775085449219,-0.3175048828125,-0.12259940432527022
AAPL,2025-10-20T10:15:00,2025-10-20T10:15:00.000000,258.67999267578125,259.7699890136719,258.40008544921875,259.5050048828125,258.6600036621094,0.845001220703125,0.3266841447226453
AAPL,2025-10-20T10:30:00,2025-10-20T10:30:00.000000,259.489990234375,260.3800048828125,259.07000732421875,259.70001220703125,259.5050048828125,0.19500732421875,0.07514588179399914
AAPL,2025-10-20T10:45:00,2025-10-20T10:45:00.000000,259.71990966796875,261.6300048828125,259.6099853515625,261.5799865722656,259.70001220703125,1.879974365234375,0.7239023014506718
AAPL,2025-10-20T11:00:00,2025-10-20T11:00:00.000000,261.5799865722656,263.4700012207031,261.5199890136719,262.7699890136719,261.5799865722656,1.19000244140625,0.4549287034531952
AAPL,2025-10-20T11:15:00,2025-10-20T11:15:00.000000,262.7900085449219,263.54998779296875,262.239990234375,262.57000732421875,262.7699890136719,-0.199981689453125,-0.07610522427000596
AAPL,2025-10-20T11:30:00,2025-10-20T11:30:00.000000,262.54998779296875,263.5899963378906,262.4175109863281,263.5487976074219,262.57000732421875,0.978790283203125,0.3727730722856418
AAPL,2025-10-20T11:45:00,2025-10-20T11:45:00.000000,263.54998779296875,264.375,263.04998779296875,263.30999755859375,263.5487976074219,-0.238800048828125,-0.09060942451493852
AAPL,2025-10-20T12:00:00,2025-10-20T12:00:00.000000,263.3399963378906,264.2300109863281,263.0400085449219,263.11639404296875,263.30999755859375,-0.193603515625,-0.07352683810720778
AAPL,2025-10-20T12:15:00,2025-10-20T12:15:00.000000,263.1000061035156,263.6499938964844,262.8100891113281,263.489990234375,263.11639404296875,0.37359619140625,0.1419889447653494
AAPL,2025-10-20T12:30:00,2025-10-20T12:30:00.000000,263.4800109863281,263.70001220703125,262.7300109863281,262.79998779296875,263.489990234375,-0.69000244140625,-0.2618704569355713
AAPL,2025-10-20T12:45:00,2025-10-20T12:45:00.000000,262.82000732421875,263.6700134277344,262.6499938964844,263.6199951171875,262.79998779296875,0.82000732421875,0.3120271546073068
AAPL,2025-10-20T13:00:00,2025-10-20T13:00:00.000000,263.610107421875,264.2099914550781,263.260009765625,263.3497009277344,263.6199951171875,-0.270294189453125,-0.10253174814488962
AAPL,2025-10-20T13:15:00,2025-10-20T13:15:00.000000,263.3219909667969,263.57000732421875,262.8808898925781,263.1650085449219,263.3497009277344,-0.1846923828125,-0.0701319888201359
AAPL,2025-10-20T13:30:00,2025-10-20T13:30:00.000000,263.17999267578125,263.2099914550781,262.9700012207031,263.0350036621094,263.1650085449219,-0.1300048828125,-0.04940052005063901
AAPL,2025-10-20T13:45:00,2025-10-20T13:45:00.000000,263.0350036621094,263.3699951171875,262.82598876953125,262.92498779296875,263.0350036621094,-0.110015869140625,-0.04182556222895324
AAPL,2025-10-20T14:00:00,2025-10-20T14:00:00.000000,262.9200134277344,263.67999267578125,262.7900085449219,263.6701965332031,262.92498779296875,0.745208740234375,0.28343017013702937
AAPL,2025-10-20T14:15:00,2025-10-20T14:15:00.000000,263.6799011230469,263.8299865722656,263.3599853515625,263.7300109863281,263.6701965332031,0.059814453125,0.022685329594112
AAPL,2025-10-20T14:30:00,2025-10-20T14:30:00.000000,263.739990234375,263.7550048828125,263.25,263.3699951171875,263.7300109863281,-0.360015869140625,-0.13650925345742634
AAPL,2025-10-20T14:45:00,2025-10-20T14:45:00.000000,263.3699951171875,263.42999267578125,263.0400085449219,263.2799987792969,263.3699951171875,-0.089996337890625,-0.03417106715234618
AAPL,2025-10-20T15:00:00,2025-10-20T15:00:00.000000,263.29998779296875,263.80999755859375,263.2005920410156,263.5,263.2799987792969,0.220001220703125,0.0835616916298865
AAPL,2025-10-20T15:15:00,2025-10-20T15:15:00.000000,263.5,263.6000061035156,263.2099914550781,263.4200134277344,263.5,-0.079986572265625,-0.0303554353949241
AAPL,2025-10-20T15:30:00,2025-10-20T15:30:00.000000,263.44000244140625,263.8500061035156,263.3800048828125,263.5350036621094,263.4200134277344,0.114990234375,0.04365280863769524
AAPL,2025-10-20T15:45:00,2025-10-20T15:45:00.000000,263.5299987792969,263.7699890136719,261.92999267578125,262.2300109863281,263.5350036621094,-1.30499267578125,-0.49518760606634343
AAPL,2025-10-21T09:30:00,2025-10-21T09:30:00.000000,261.8800048828125,265.0,261.8800048828125,264.3999938964844,262.2300109863281,2.16998291015625,0.8275112760718246
AAPL,2025-10-21T09:45:00,2025-10-21T09:45:00.000000,264.4200134277344,265.2900085449219,262.94000244140625,263.80499267578125,264.3999938964844,-0.595001220703125,-0.22503828836549625
